what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1410333745891
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1410333745901
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1410333745903
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1410333745920
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1410333745930
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1410333745947
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1410333745960
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1410333745977
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1410333745985
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1410333745999
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1410333746011
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1410333746030
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1410333746043
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1410333746053
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1410333746063
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1410333746077
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1410333746098
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1410333746118
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1410333746131
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1410333746144
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.me201106292137,"org.eclipse.wst.common.project.facet.core",1410333746159
started,bundle,org.eclipse.wst.common.snippets,1.2.1.me201012090051,"org.eclipse.wst.common.snippets",1410333746171
started,bundle,org.eclipse.wst.internet.monitor.core,1.0.404.v20090609,"org.eclipse.wst.internet.monitor.core",1410333746183
started,bundle,org.eclipse.wst.internet.monitor.ui,1.0.405.v20100309,"org.eclipse.wst.internet.monitor.ui",1410333746188
started,bundle,org.eclipse.wst.jsdt.atfdebug,0.0.1.me201012110023,"org.eclipse.wst.jsdt.atfdebug",1410333746195
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1410333746203
started,bundle,org.eclipse.wst.xml.core,1.1.502.me201105051700,"org.eclipse.wst.xml.core",1410333746224
started,bundle,org.jboss.tools.common,2.0.0.me201003052220,"org.jboss.tools.common",1410333746233
started,bundle,org.jboss.tools.common.model,2.0.0.me201012090051,"org.jboss.tools.common.model",1410333746245
started,bundle,org.jboss.tools.vpe,2.1.0.me201012090051,"org.jboss.tools.vpe",1410333746257
started,bundle,org.jboss.tools.vpe.xulrunner,2.1.0.me201012090051,"org.jboss.tools.vpe.xulrunner",1410333746266
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1410333746267
started,bundle,com.genuitec.eclipse.core.common,9.0.0.me201105301859,"com.genuitec.eclipse.core.common",1410333746280
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1410333746292
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1410333746301
started,bundle,com.genuitec.eclipse.core,9.1.0.me201106292137,"com.genuitec.eclipse.core",1410333746302
os,sysinfo,,,"win32",1410333746306
arch,sysinfo,,,"x86",1410333746306
ws,sysinfo,,,"win32",1410333746306
locale,sysinfo,,,"en_US",1410333746306
processors,sysinfo,,,"4",1410333746306
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1410333746306
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1410333746306
java.specification.name,sysinfo,,,"Java Platform API Specification",1410333746306
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410333746306
java.specification.version,sysinfo,,,"1.6",1410333746306
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1410333746306
java.version,sysinfo,,,"1.6.0_13",1410333746306
java.vm.info,sysinfo,,,"mixed mode",1410333746306
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1410333746306
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410333746306
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410333746306
java.vm.specification.version,sysinfo,,,"1.0",1410333746306
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1410333746306
java.vm.version,sysinfo,,,"11.3-b02",1410333746306
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1410333746376
started,bundle,org.tigris.subversion.clientadapter,1.10.1,"org.tigris.subversion.clientadapter",1410333746414
started,bundle,com.collabnet.subversion.merge,4.0.2,"com.collabnet.subversion.merge",1410333746579
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1410333746622
started,bundle,org.tigris.subversion.subclipse.ui,1.10.4,"org.tigris.subversion.subclipse.ui",1410333746697
started,bundle,org.tigris.subversion.subclipse.core,1.10.4,"org.tigris.subversion.subclipse.core",1410333746727
started,bundle,org.jboss.tools.jst.web.ui,2.0.0.me201012090051,"org.jboss.tools.jst.web.ui",1410333746822
started,bundle,org.jboss.tools.jsf.ui,2.0.0.me201012090051,"org.jboss.tools.jsf.ui",1410333746902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333746927
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333801442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333805372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333825585
opened,view,com.genuitec.pulse.client.targetcfg.collab.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.ui.view.controlcenter",1410333825717
activated,perspective,com.genuitec.pulse.client.targetcfg.collab.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.ui.ccperspective",1410333825725
activated,view,com.genuitec.pulse.client.targetcfg.collab.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.ui.view.controlcenter",1410333825748
activated,perspective,com.genuitec.pulse.client.targetcfg.collab.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.ui.ccperspective",1410333825783
started,bundle,com.genuitec.eclipse.dashboard,9.0.0.me201105262038,"com.genuitec.eclipse.dashboard",1410333829111
started,bundle,com.genuitec.pulse.client.targetcfg.collab.workspace.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.workspace.ui",1410333834494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333906145
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333909412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333911237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333919512
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333925520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333973434
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333978450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333984703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410333985197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334000541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334004890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334006367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334008132
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334049509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334067172
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334100145
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334109799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334119482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334120693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334135201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334137314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334138575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334147602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334158596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334161678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334178342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334180649
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1410334182109
