what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.me201106082305,"org.eclipse.wst.jsdt.web.core",1410343592476
stopped,bundle,org.eclipse.wst.html.core,1.1.402.me201103140131,"org.eclipse.wst.html.core",1410343592476
stopped,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1410343592476
stopped,bundle,com.genuitec.eclipse.dtd,9.0.0.me201012172208,"com.genuitec.eclipse.dtd",1410343592476
stopped,bundle,com.genuitec.eclipse.lib.spring3,9.0.0.me201102240211,"com.genuitec.eclipse.lib.spring3",1410343592476
stopped,bundle,com.genuitec.org.hibernate.eclipse.mapper,3.2.4.CR1-me201012090051,"com.genuitec.org.hibernate.eclipse.mapper",1410343592476
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.CR1-me201012090051,"org.hibernate.eclipse.jdt.ui",1410343592476
stopped,bundle,com.genuitec.org.hibernate.eclipse.console,3.2.4.CR1-me201012090051,"com.genuitec.org.hibernate.eclipse.console",1410343592476
stopped,bundle,com.genuitec.org.hibernate.eclipse,3.2.4.CR1-me201012090051,"com.genuitec.org.hibernate.eclipse",1410343592649
stopped,bundle,org.eclipse.wst.jsdt.atfdebug,0.0.1.me201012110023,"org.eclipse.wst.jsdt.atfdebug",1410343592649
stopped,bundle,org.eclipse.atf.mozilla.ide.debug.ui,0.2.2.me201103110135,"org.eclipse.atf.mozilla.ide.debug.ui",1410343592649
stopped,bundle,org.eclipse.dltk.javascript.debug.ui,1.0.0.me201103140131,"org.eclipse.dltk.javascript.debug.ui",1410343592650
stopped,bundle,org.eclipse.dltk.javascript.launching,1.0.0.me201012090051,"org.eclipse.dltk.javascript.launching",1410343592650
stopped,bundle,org.eclipse.dltk.javascript.ui,1.0.0.me201101191453,"org.eclipse.dltk.javascript.ui",1410343592650
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.me201106292137,"org.eclipse.dltk.debug.ui",1410343592650
stopped,bundle,org.eclipse.dltk.javascript.debug,1.0.0.me201012090051,"org.eclipse.dltk.javascript.debug",1410343592650
stopped,bundle,org.eclipse.dltk.console.ui,1.0.0.me201012090051,"org.eclipse.dltk.console.ui",1410343592650
stopped,bundle,org.eclipse.dltk.ui,1.0.0.me201012090051,"org.eclipse.dltk.ui",1410343592650
stopped,bundle,org.eclipse.dltk.launching,2.0.0.me201106292137,"org.eclipse.dltk.launching",1410343592650
stopped,bundle,org.eclipse.dltk.debug,1.0.0.me201105051700,"org.eclipse.dltk.debug",1410343592650
stopped,bundle,org.eclipse.atf.mozilla.ide.debug,0.2.2.me201106290046,"org.eclipse.atf.mozilla.ide.debug",1410343592650
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.1.v201007142310,"org.eclipse.jpt.eclipselink.core",1410343592650
stopped,bundle,org.eclipse.jpt.core,2.3.2.me201101251749,"org.eclipse.jpt.core",1410343592650
stopped,bundle,com.genuitec.eclipse.browser,9.0.0.me201012090051,"com.genuitec.eclipse.browser",1410343592650
stopped,bundle,org.eclipse.atf.mozilla.ide.ui.extras,0.2.2.me201003052220,"org.eclipse.atf.mozilla.ide.ui.extras",1410343592650
stopped,bundle,org.eclipse.atf.mozilla.ide.ui,0.2.2.me201012090051,"org.eclipse.atf.mozilla.ide.ui",1410343592650
stopped,bundle,org.eclipse.atf.mozilla.ide.core,0.2.2.me201012110023,"org.eclipse.atf.mozilla.ide.core",1410343592650
stopped,bundle,org.eclipse.atf.templates,0.2.2.me201003052220,"org.eclipse.atf.templates",1410343592650
stopped,bundle,org.eclipse.atf.core,0.2.2.me201012142234,"org.eclipse.atf.core",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.me201012142234,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.200.v200909290826,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.300.v201003112036,"org.eclipse.jst.j2ee.ejb.annotation.model",1410343592650
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1410343592650
stopped,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1410343592650
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.300.v201008201959,"org.eclipse.jst.ws.jaxrs.ui",1410343592650
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.402.me201103031935,"org.eclipse.jst.j2ee.web",1410343592650
stopped,bundle,org.eclipse.jst.jee,1.0.301.me201103140131,"org.eclipse.jst.jee",1410343592650
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1410343592650
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.1.v20100906,"org.eclipse.jst.jsf.facesconfig",1410343592650
stopped,bundle,org.eclipse.jst.j2ee,1.1.402.me201106221611,"org.eclipse.jst.j2ee",1410343592651
stopped,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1410343592651
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.me201012090051,"org.eclipse.wst.dtd.ui",1410343592652
stopped,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1410343592652
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.me201103140131,"org.eclipse.wst.xsd.ui",1410343592652
stopped,bundle,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor",1410343592652
stopped,bundle,org.maven.ide.eclipse.editor.xml,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor.xml",1410343592652
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.me201101100743,"org.eclipse.wst.xml.ui",1410343592652
stopped,bundle,org.maven.ide.eclipse.cvs,0.10.0.20100209-0800,"org.maven.ide.eclipse.cvs",1410343592652
stopped,bundle,org.maven.ide.eclipse.jdt,0.10.0.me201005202248,"org.maven.ide.eclipse.jdt",1410343592652
stopped,bundle,org.maven.ide.eclipse.launching,0.10.0.me201102240211,"org.maven.ide.eclipse.launching",1410343592652
stopped,bundle,org.maven.ide.eclipse.refactoring,0.10.0.me201003160712,"org.maven.ide.eclipse.refactoring",1410343592652
stopped,bundle,org.maven.ide.eclipse.scm,0.10.0.20100209-0800,"org.maven.ide.eclipse.scm",1410343592652
